_id,_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
78f0a1a42580973bb5a50d4c5279b3a6,55c29624cdb74469ff2e3db06eaa10a1,6f0382325857ae3469d04800c470c509,,40.753002000000000,-73.992409000000000,New York City,NY,10018,,,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Visual Arts,Music & The Arts,,,Technology,low poverty,Grades 3-5,,,,,644.00,785.37,0,244.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-05-12 00:00:00,2003-12-31 00:00:00
867acebf5d6a364556dc763bb3b891cb,21a5742d5e6196ed64fae769c25c93ba,04f3cfd15642f95e296751a568089a9a,,40.804859000000000,-73.953697000000000,New York City,NY,10026,,,New York (Manhattan),t,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades 3-5,,,,,140.00,170.73,0,140.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-12-31 00:00:00
8745c090f8856273799f5361d70b8b40,df8cde3ab0432f4c62fb7cdf096362eb,1615e71d5ed5e1f2dd4856b2668e35a3,360008502456,40.825351000000000,-73.873787000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,t,f,College & Career Prep,Applied Learning,,,Supplies,highest poverty,Grades PreK-2,,,,,230.00,280.49,0,230.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-12-03 00:00:00,2003-12-31 00:00:00
8a895ea9a4eb127999dad0f4bfbf9151,55c29624cdb74469ff2e3db06eaa10a1,6f0382325857ae3469d04800c470c509,,40.753002000000000,-73.992409000000000,New York City,NY,10018,,,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Visual Arts,Music & The Arts,,,Supplies,low poverty,Grades 3-5,,,,,448.00,546.34,0,200.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-12-31 00:00:00
8d9a036d6256b8cc672f6a7bb42d5967,ebb627d0f8c3689423a23038203cb64f,404b04de35ab895c49c1bf504b76c8a2,360015705846,40.656298000000000,-73.951604000000000,New York City,NY,11226,urban,Charter School District,Kings (Brooklyn),t,f,f,f,f,f,Ms.,t,f,Literature & Writing,Literacy & Language,History & Geography,History & Civics,Books,highest poverty,Grades 3-5,,,,,437.00,532.93,0,480.70,2,f,f,completed,2002-09-19 00:00:00,2003-03-03 00:00:00,2004-01-28 00:00:00,2003-12-31 00:00:00
8e6679e7dcb3880e8a4b7ca9e2145a51,696c8458f451fc8fbc4c7e470a03f4d4,3706b4dd4d68da21df7015cba19dbc02,360013905776,40.806160000000000,-73.948020000000000,New York City,NY,10027,urban,New York City Dept Of Ed,New York (Manhattan),t,f,f,t,f,f,Mr.,f,f,Other,Applied Learning,,,Supplies,highest poverty,Grades 6-8,,,,,445.00,542.68,0,445.00,1,f,f,completed,2002-09-19 00:00:00,2002-11-06 00:00:00,2003-07-23 00:00:00,2003-12-31 00:00:00
92103b6feccac6149f0a47371bbfcc6c,1a5ade3f923ab4de958755655b4a7e9b,906db3b4864f6502bea0392909d27afe,360009202041,40.649203000000000,-74.012325000000000,New York City,NY,11220,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,,,,,615.00,750.00,0,654.00,2,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2004-01-28 00:00:00,2003-12-31 00:00:00
929a2110437f95b07c3d3d158e30db47,e3751e935d13de6b37864194955d1548,aab7207b58c29df564e721b9bff5f4d9,360012104886,40.666550000000000,-73.911084000000000,New York City,NY,11212,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,,,,,99.00,120.73,0,108.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-12-20 00:00:00,2003-12-31 00:00:00
964739d7f4ef64bc018e5776028ed1c8,da901a917ac3eae4017ed059e7d33dfc,caebe9050374f97aeba2033b2eca0f16,360015302727,40.613426000000000,-73.938935000000000,New York City,NY,11234,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mrs.,f,f,Visual Arts,Music & The Arts,,,Supplies,high poverty,Grades PreK-2,,,,,592.00,721.95,0,0.00,0,f,f,completed,2002-09-19 00:00:00,2002-09-23 00:00:00,2003-05-02 00:00:00,2003-12-31 00:00:00
97ef873b8332f8398b5a39523f9247fd,0c2d4535f03991165dc72092840d672b,cabcc3ed826056c3969a8a99c5aeeaf6,360008502463,40.829224000000000,-73.856899000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 6-8,,,,,282.00,343.90,0,282.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-01-30 00:00:00,2003-12-31 00:00:00
9ad9645a5c23febe40d088bb30827979,0c2d4535f03991165dc72092840d672b,cabcc3ed826056c3969a8a99c5aeeaf6,360008502463,40.829224000000000,-73.856899000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 6-8,,,,,514.00,626.83,0,0.00,0,f,f,completed,2002-09-19 00:00:00,2002-11-11 00:00:00,2003-01-30 00:00:00,2003-12-31 00:00:00
9b0d36b9c467073e17b21e201275fcca,ebb627d0f8c3689423a23038203cb64f,404b04de35ab895c49c1bf504b76c8a2,360015705846,40.656298000000000,-73.951604000000000,New York City,NY,11226,urban,Charter School District,Kings (Brooklyn),t,f,f,f,f,f,Ms.,t,f,Social Sciences,History & Civics,,,Supplies,highest poverty,Grades 3-5,,,,,240.00,292.68,0,258.00,2,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2004-01-28 00:00:00,2003-12-31 00:00:00
9db0d13910385b8624416c8c426124c1,ea051b4d920c88f218893ae77ebac8d7,a65b2441d4e3464354a9edfa2389e78f,360008301675,40.834900000000000,-73.941620000000000,New York City,NY,10032,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Health & Life Science,Math & Science,,,Supplies,highest poverty,Grades PreK-2,,,,,418.10,509.88,0,0.00,0,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-12-31 00:00:00
9df9204260388fd72e736cda69e0cb48,16ffd7a87fa8426489dac20b0f325cb1,5e4af81adba8db885dc6879c34cd5a57,360008602232,40.832818000000000,-73.911691000000000,New York City,NY,10456,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,t,f,Literacy,Literacy & Language,,,Books,moderate poverty,Grades PreK-2,,,,,167.00,203.66,0,167.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-12-31 00:00:00
9ef40fe3386e16244ef25779c228e72f,214d75bd0e6ce3e7085278ddd8f26daa,f7f12dee0009e6f9afa301bcca9d5070,,40.815018000000000,-73.856094000000000,New York City,NY,10473,urban,Leadership Learning Support Organization,Bronx,f,f,f,f,f,f,Ms.,t,f,Mathematics,Math & Science,,,Technology,highest poverty,Grades 3-5,,,,,722.00,880.49,0,758.36,2,f,f,completed,2002-09-19 00:00:00,2003-03-03 00:00:00,2003-05-16 00:00:00,2003-12-31 00:00:00
ad7656defd12c13cd8684bd2cd0771b4,ebb627d0f8c3689423a23038203cb64f,404b04de35ab895c49c1bf504b76c8a2,360015705846,40.656298000000000,-73.951604000000000,New York City,NY,11226,urban,Charter School District,Kings (Brooklyn),t,f,f,f,f,f,Ms.,t,f,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 3-5,,,,,295.00,359.76,0,324.50,1,f,f,completed,2002-09-19 00:00:00,2003-01-23 00:00:00,2003-05-22 00:00:00,2003-12-31 00:00:00
b06460893c30ef434d40fad7c027b5e7,3b950d9185204b5458829610855696b7,74069ee85f6d41fd039befcb64107b5f,360008604459,40.843352000000000,-73.920440000000000,New York City,NY,10452,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades 3-5,,,,,152.00,185.37,0,167.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-03-26 00:00:00,2003-12-31 00:00:00
